id,activity_hour,step_total,calories,total_intensity,average_intensity,date,time,day_of_week
1503960366,2016-04-12T07:00:00Z,373,81,20,0.333333,2016-04-12,00:00:00,Tue
1503960366,2016-04-12T08:00:00Z,160,61,8,0.133333,2016-04-12,01:00:00,Tue
1503960366,2016-04-12T09:00:00Z,151,59,7,0.116667,2016-04-12,02:00:00,Tue
1503960366,2016-04-12T10:00:00Z,0,47,0,0,2016-04-12,03:00:00,Tue
1503960366,2016-04-12T11:00:00Z,0,48,0,0,2016-04-12,04:00:00,Tue
1503960366,2016-04-12T12:00:00Z,0,48,0,0,2016-04-12,05:00:00,Tue
1503960366,2016-04-12T13:00:00Z,0,48,0,0,2016-04-12,06:00:00,Tue
1503960366,2016-04-12T14:00:00Z,0,47,0,0,2016-04-12,07:00:00,Tue
1503960366,2016-04-12T15:00:00Z,250,68,13,0.216667,2016-04-12,08:00:00,Tue
1503960366,2016-04-12T16:00:00Z,1864,141,30,0.5,2016-04-12,09:00:00,Tue
1503960366,2016-04-12T17:00:00Z,676,99,29,0.483333,2016-04-12,10:00:00,Tue
1503960366,2016-04-12T18:00:00Z,360,76,12,0.2,2016-04-12,11:00:00,Tue
1503960366,2016-04-12T19:00:00Z,253,73,11,0.183333,2016-04-12,12:00:00,Tue
1503960366,2016-04-12T20:00:00Z,221,66,6,0.1,2016-04-12,13:00:00,Tue
1503960366,2016-04-12T21:00:00Z,1166,110,36,0.6,2016-04-12,14:00:00,Tue
1503960366,2016-04-12T22:00:00Z,2063,151,58,0.966667,2016-04-12,15:00:00,Tue
1503960366,2016-04-12T23:00:00Z,344,76,13,0.216667,2016-04-12,16:00:00,Tue
1503960366,2016-04-13T00:00:00Z,489,83,16,0.266667,2016-04-13,17:00:00,Wed
1503960366,2016-04-13T01:00:00Z,1386,124,29,0.483333,2016-04-13,18:00:00,Wed
1503960366,2016-04-13T02:00:00Z,558,104,39,0.65,2016-04-13,19:00:00,Wed
1503960366,2016-04-13T03:00:00Z,1733,132,41,0.683333,2016-04-13,20:00:00,Wed
1503960366,2016-04-13T04:00:00Z,684,100,31,0.516667,2016-04-13,21:00:00,Wed
1503960366,2016-04-13T05:00:00Z,89,65,9,0.15,2016-04-13,22:00:00,Wed
1503960366,2016-04-13T06:00:00Z,338,81,21,0.35,2016-04-13,23:00:00,Wed
1503960366,2016-04-13T07:00:00Z,144,69,14,0.233333,2016-04-13,00:00:00,Wed
1503960366,2016-04-13T08:00:00Z,0,48,0,0,2016-04-13,01:00:00,Wed
1503960366,2016-04-13T09:00:00Z,0,47,0,0,2016-04-13,02:00:00,Wed
1503960366,2016-04-13T10:00:00Z,36,53,4,0.066667,2016-04-13,03:00:00,Wed
1503960366,2016-04-13T11:00:00Z,0,47,0,0,2016-04-13,04:00:00,Wed
1503960366,2016-04-13T12:00:00Z,0,47,0,0,2016-04-13,05:00:00,Wed
1503960366,2016-04-13T13:00:00Z,0,48,0,0,2016-04-13,06:00:00,Wed
1503960366,2016-04-13T14:00:00Z,126,59,8,0.133333,2016-04-13,07:00:00,Wed
1503960366,2016-04-13T15:00:00Z,275,69,12,0.2,2016-04-13,08:00:00,Wed
1503960366,2016-04-13T16:00:00Z,1679,136,27,0.45,2016-04-13,09:00:00,Wed
1503960366,2016-04-13T17:00:00Z,295,77,15,0.25,2016-04-13,10:00:00,Wed
1503960366,2016-04-13T18:00:00Z,524,84,16,0.266667,2016-04-13,11:00:00,Wed
1503960366,2016-04-13T19:00:00Z,486,82,15,0.25,2016-04-13,12:00:00,Wed
1503960366,2016-04-13T20:00:00Z,302,72,10,0.166667,2016-04-13,13:00:00,Wed
1503960366,2016-04-13T21:00:00Z,1577,128,46,0.766667,2016-04-13,14:00:00,Wed
1503960366,2016-04-13T22:00:00Z,493,79,13,0.216667,2016-04-13,15:00:00,Wed
1503960366,2016-04-13T23:00:00Z,299,71,10,0.166667,2016-04-13,16:00:00,Wed
1503960366,2016-04-14T00:00:00Z,695,87,23,0.383333,2016-04-14,17:00:00,Thu
1503960366,2016-04-14T01:00:00Z,1343,118,25,0.416667,2016-04-14,18:00:00,Thu
1503960366,2016-04-14T02:00:00Z,258,73,13,0.216667,2016-04-14,19:00:00,Thu
1503960366,2016-04-14T03:00:00Z,0,47,0,0,2016-04-14,20:00:00,Thu
1503960366,2016-04-14T04:00:00Z,0,48,0,0,2016-04-14,21:00:00,Thu
1503960366,2016-04-14T05:00:00Z,437,74,11,0.183333,2016-04-14,22:00:00,Thu
1503960366,2016-04-14T06:00:00Z,1766,135,56,0.933333,2016-04-14,23:00:00,Thu
1503960366,2016-04-14T07:00:00Z,81,56,4,0.066667,2016-04-14,00:00:00,Thu
1503960366,2016-04-14T08:00:00Z,58,54,3,0.05,2016-04-14,01:00:00,Thu
1503960366,2016-04-14T09:00:00Z,0,47,0,0,2016-04-14,02:00:00,Thu
1503960366,2016-04-14T10:00:00Z,0,47,0,0,2016-04-14,03:00:00,Thu
1503960366,2016-04-14T11:00:00Z,0,47,0,0,2016-04-14,04:00:00,Thu
1503960366,2016-04-14T12:00:00Z,0,47,0,0,2016-04-14,05:00:00,Thu
1503960366,2016-04-14T13:00:00Z,0,47,0,0,2016-04-14,06:00:00,Thu
1503960366,2016-04-14T14:00:00Z,0,47,0,0,2016-04-14,07:00:00,Thu
1503960366,2016-04-14T15:00:00Z,0,47,0,0,2016-04-14,08:00:00,Thu
1503960366,2016-04-14T16:00:00Z,902,93,14,0.233333,2016-04-14,09:00:00,Thu
1503960366,2016-04-14T17:00:00Z,1106,109,23,0.383333,2016-04-14,10:00:00,Thu
1503960366,2016-04-14T18:00:00Z,50,64,7,0.116667,2016-04-14,11:00:00,Thu
1503960366,2016-04-14T19:00:00Z,501,85,18,0.3,2016-04-14,12:00:00,Thu
1503960366,2016-04-14T20:00:00Z,1779,137,54,0.9,2016-04-14,13:00:00,Thu
1503960366,2016-04-14T21:00:00Z,1228,113,22,0.366667,2016-04-14,14:00:00,Thu
1503960366,2016-04-14T22:00:00Z,139,66,7,0.116667,2016-04-14,15:00:00,Thu
1503960366,2016-04-14T23:00:00Z,408,88,25,0.416667,2016-04-14,16:00:00,Thu
1503960366,2016-04-15T00:00:00Z,37,61,5,0.083333,2016-04-15,17:00:00,Fri
1503960366,2016-04-15T01:00:00Z,322,72,12,0.2,2016-04-15,18:00:00,Fri
1503960366,2016-04-15T02:00:00Z,11,55,1,0.016667,2016-04-15,19:00:00,Fri
1503960366,2016-04-15T03:00:00Z,806,91,24,0.4,2016-04-15,20:00:00,Fri
1503960366,2016-04-15T04:00:00Z,2670,174,57,0.95,2016-04-15,21:00:00,Fri
1503960366,2016-04-15T05:00:00Z,362,79,17,0.283333,2016-04-15,22:00:00,Fri
1503960366,2016-04-15T06:00:00Z,0,50,0,0,2016-04-15,23:00:00,Fri
1503960366,2016-04-15T07:00:00Z,83,60,6,0.1,2016-04-15,00:00:00,Fri
1503960366,2016-04-15T08:00:00Z,75,58,5,0.083333,2016-04-15,01:00:00,Fri
1503960366,2016-04-15T09:00:00Z,124,59,7,0.116667,2016-04-15,02:00:00,Fri
1503960366,2016-04-15T10:00:00Z,0,47,0,0,2016-04-15,03:00:00,Fri
1503960366,2016-04-15T11:00:00Z,0,47,0,0,2016-04-15,04:00:00,Fri
1503960366,2016-04-15T12:00:00Z,26,49,1,0.016667,2016-04-15,05:00:00,Fri
1503960366,2016-04-15T13:00:00Z,0,47,0,0,2016-04-15,06:00:00,Fri
1503960366,2016-04-15T14:00:00Z,7,49,1,0.016667,2016-04-15,07:00:00,Fri
1503960366,2016-04-15T15:00:00Z,55,54,5,0.083333,2016-04-15,08:00:00,Fri
1503960366,2016-04-15T16:00:00Z,21,50,2,0.033333,2016-04-15,09:00:00,Fri
1503960366,2016-04-15T17:00:00Z,154,63,8,0.133333,2016-04-15,10:00:00,Fri
1503960366,2016-04-15T18:00:00Z,425,84,23,0.383333,2016-04-15,11:00:00,Fri
1503960366,2016-04-15T19:00:00Z,270,74,13,0.216667,2016-04-15,12:00:00,Fri
1503960366,2016-04-15T20:00:00Z,373,67,9,0.15,2016-04-15,13:00:00,Fri
1503960366,2016-04-15T21:00:00Z,0,47,0,0,2016-04-15,14:00:00,Fri
1503960366,2016-04-15T22:00:00Z,0,47,0,0,2016-04-15,15:00:00,Fri
1503960366,2016-04-15T23:00:00Z,0,47,0,0,2016-04-15,16:00:00,Fri
1503960366,2016-04-16T00:00:00Z,1774,140,47,0.783333,2016-04-16,17:00:00,Sat
1503960366,2016-04-16T01:00:00Z,509,87,22,0.366667,2016-04-16,18:00:00,Sat
1503960366,2016-04-16T02:00:00Z,519,97,32,0.533333,2016-04-16,19:00:00,Sat
1503960366,2016-04-16T03:00:00Z,77,64,8,0.133333,2016-04-16,20:00:00,Sat
1503960366,2016-04-16T04:00:00Z,280,75,14,0.233333,2016-04-16,21:00:00,Sat
1503960366,2016-04-16T05:00:00Z,2145,151,66,1.1,2016-04-16,22:00:00,Sat
1503960366,2016-04-16T06:00:00Z,2768,182,95,1.583333,2016-04-16,23:00:00,Sat
1503960366,2016-04-16T07:00:00Z,459,77,15,0.25,2016-04-16,00:00:00,Sat
1503960366,2016-04-16T08:00:00Z,0,48,0,0,2016-04-16,01:00:00,Sat
1503960366,2016-04-16T09:00:00Z,63,52,3,0.05,2016-04-16,02:00:00,Sat
1503960366,2016-04-16T10:00:00Z,6,48,1,0.016667,2016-04-16,03:00:00,Sat
1503960366,2016-04-16T11:00:00Z,6,49,1,0.016667,2016-04-16,04:00:00,Sat
1503960366,2016-04-16T12:00:00Z,12,49,1,0.016667,2016-04-16,05:00:00,Sat
1503960366,2016-04-16T13:00:00Z,0,48,0,0,2016-04-16,06:00:00,Sat
1503960366,2016-04-16T14:00:00Z,101,54,4,0.066667,2016-04-16,07:00:00,Sat
1503960366,2016-04-16T15:00:00Z,175,62,9,0.15,2016-04-16,08:00:00,Sat
1503960366,2016-04-16T16:00:00Z,1181,124,38,0.633333,2016-04-16,09:00:00,Sat
1503960366,2016-04-16T17:00:00Z,1295,110,14,0.233333,2016-04-16,10:00:00,Sat
1503960366,2016-04-16T18:00:00Z,2043,147,30,0.5,2016-04-16,11:00:00,Sat
1503960366,2016-04-16T19:00:00Z,1513,119,42,0.7,2016-04-16,12:00:00,Sat
